framework,task_id,condition,n,n_success,success_rate
crewai,coord-ambiguous-termination-condition,supervisor_orchestrator,30,30,1.0
crewai,coord-clarification-before-execution,none,30,0,0.0
crewai,coord-clarification-before-execution,reflection_independent_verification,30,1,0.03333333333333333
crewai,coord-clarification-before-execution,structured_output_validation,30,0,0.0
crewai,coord-clarification-before-execution,supervisor_orchestrator,30,0,0.0
crewai,coord-combined-asymmetry-verification,none,30,1,0.03333333333333333
crewai,coord-combined-asymmetry-verification,reflection_independent_verification,30,11,0.36666666666666664
crewai,coord-combined-asymmetry-verification,structured_output_validation,30,1,0.03333333333333333
crewai,coord-combined-asymmetry-verification,supervisor_orchestrator,30,17,0.5666666666666667
crewai,coord-conflicting-done-criteria,none,30,0,0.0
crewai,coord-conflicting-done-criteria,reflection_independent_verification,30,0,0.0
crewai,coord-conflicting-done-criteria,structured_output_validation,30,1,0.03333333333333333
crewai,coord-conflicting-done-criteria,supervisor_orchestrator,30,0,0.0
crewai,coord-info-asymmetry-constraint,none,30,30,1.0
crewai,coord-info-asymmetry-constraint,reflection_independent_verification,30,30,1.0
crewai,coord-info-asymmetry-constraint,structured_output_validation,30,20,0.6666666666666666
crewai,coord-info-asymmetry-constraint,supervisor_orchestrator,30,30,1.0
crewai,coord-role-overlap-duplicate-actions,none,30,10,0.3333333333333333
crewai,coord-role-overlap-duplicate-actions,reflection_independent_verification,30,8,0.26666666666666666
crewai,coord-role-overlap-duplicate-actions,structured_output_validation,30,1,0.03333333333333333
crewai,coord-role-overlap-duplicate-actions,supervisor_orchestrator,30,4,0.13333333333333333
crewai,coord-unclear-handoff-incomplete-artifact,none,30,0,0.0
crewai,coord-unclear-handoff-incomplete-artifact,reflection_independent_verification,30,3,0.1
crewai,coord-unclear-handoff-incomplete-artifact,structured_output_validation,30,0,0.0
crewai,coord-unclear-handoff-incomplete-artifact,supervisor_orchestrator,30,0,0.0
crewai,coord-weak-final-verification,none,30,30,1.0
crewai,coord-weak-final-verification,reflection_independent_verification,30,22,0.7333333333333333
crewai,coord-weak-final-verification,structured_output_validation,30,17,0.5666666666666667
crewai,coord-weak-final-verification,supervisor_orchestrator,30,30,1.0
langgraph,coord-ambiguous-termination-condition,none,30,30,1.0
langgraph,coord-ambiguous-termination-condition,reflection_independent_verification,30,30,1.0
langgraph,coord-ambiguous-termination-condition,structured_output_validation,30,30,1.0
langgraph,coord-ambiguous-termination-condition,supervisor_orchestrator,30,30,1.0
langgraph,coord-clarification-before-execution,none,30,0,0.0
langgraph,coord-clarification-before-execution,reflection_independent_verification,30,0,0.0
langgraph,coord-clarification-before-execution,structured_output_validation,30,0,0.0
langgraph,coord-clarification-before-execution,supervisor_orchestrator,30,7,0.23333333333333334
langgraph,coord-combined-asymmetry-verification,none,30,3,0.1
langgraph,coord-combined-asymmetry-verification,reflection_independent_verification,30,0,0.0
langgraph,coord-combined-asymmetry-verification,structured_output_validation,30,0,0.0
langgraph,coord-combined-asymmetry-verification,supervisor_orchestrator,30,1,0.03333333333333333
langgraph,coord-conflicting-done-criteria,none,30,0,0.0
langgraph,coord-conflicting-done-criteria,reflection_independent_verification,30,1,0.03333333333333333
langgraph,coord-conflicting-done-criteria,structured_output_validation,30,0,0.0
langgraph,coord-conflicting-done-criteria,supervisor_orchestrator,30,1,0.03333333333333333
langgraph,coord-info-asymmetry-constraint,none,30,30,1.0
langgraph,coord-info-asymmetry-constraint,reflection_independent_verification,30,30,1.0
langgraph,coord-info-asymmetry-constraint,structured_output_validation,30,14,0.4666666666666667
langgraph,coord-info-asymmetry-constraint,supervisor_orchestrator,30,24,0.8
langgraph,coord-role-overlap-duplicate-actions,none,30,0,0.0
langgraph,coord-role-overlap-duplicate-actions,reflection_independent_verification,30,15,0.5
langgraph,coord-role-overlap-duplicate-actions,structured_output_validation,30,14,0.4666666666666667
langgraph,coord-role-overlap-duplicate-actions,supervisor_orchestrator,30,1,0.03333333333333333
langgraph,coord-unclear-handoff-incomplete-artifact,none,30,3,0.1
langgraph,coord-unclear-handoff-incomplete-artifact,reflection_independent_verification,30,12,0.4
langgraph,coord-unclear-handoff-incomplete-artifact,structured_output_validation,30,0,0.0
langgraph,coord-unclear-handoff-incomplete-artifact,supervisor_orchestrator,30,0,0.0
langgraph,coord-weak-final-verification,none,30,30,1.0
langgraph,coord-weak-final-verification,reflection_independent_verification,30,22,0.7333333333333333
langgraph,coord-weak-final-verification,structured_output_validation,30,28,0.9333333333333333
langgraph,coord-weak-final-verification,supervisor_orchestrator,30,29,0.9666666666666667
